46.25 52.85 52.21 47.74 47.45 42.28 55.7 55.92 55.19 49.9 58.01 50.22 49.22 51.42 51.83 53.76 59.39 48.95 46.1 49.26 48.79 48.41 51.23 50.94 51.54 52.97 50.09 48.56 52.34 49.05
57.84 48.16 48.52 47.54 49.17 55.95 47.47 49.89 60.93 49.17 54.08 59.77 44.27 52.53 48.69 56.22 52.82 52.39 49.85 49.44 43.22 42.24 45.42 51.41 49.89 47.36 52.03 48.79 50.06 50.77
43.33 51.3 52.64 46.77 49.44 54.46 50.55 43.07 50.37 57.03 44.02 43.05 46.34 50.92 52.57 48.01 44.36 46.22 51.37 45.93 51.18 50.38 53.43 55.07 56.75 56.88 47.92 54.42 51.4 43.4
57.92 57.85 44.3 49.26 49.91 46.26 49.91 53.59 60.72 50.89 40.21 47.38 56.55 49.75 43.56 49.58 47.53 50.49 50.14 51.73 57.02 44.91 52.8 47.4 44.23 47.03 44.5 48.8 56.71 54.94
40.99 49.72 51.26 50.25 56.62 53.49 52.34 51.3 56.95 50.43 37.08 40.29 51.55 55.84 46.37 52.3 41.47 48.03 57.22 53.51 52.35 45.8 49 48.16 54.74 53.17 57.69 48.06 45.38 37.52
52.65 47.85 44.48 56.78 42.17 43.55 42.62 43.1 48.59 56.91 48.21 50.71 56.56 51.58 58.99 55.45 47.61 54.69 40.03 51.66 44.41 53.81 54.94 49.03 42.57 50.58 52.48 52.05 48.3 50.23
42.23 47.43 57.07 57.26 50.89 49.84 48.28 43.39 55.1 46.71 63.06 58.77 48.43 48.49 42.2 42.38 44.47 55.78 52.72 55.87 51.56 50.39 54.33 53.38 59.03 51.34 51.47 44.83 52.32 50.71
51.5 42.3 45.54 48.88 52.7 53.33 48.41 54.01 41.84 55.25 49.84 49.33 52.27 43.73 56.01 48.16 56.21 36.7 44.38 46.75 54.8 54.38 51.04 46.39 46.44 42.45 43.46 50.24 51.65 45.48
58.7 49.67 43.91 49.85 50.62 51.89 52.02 49.92 46.64 53.1 51.15 38.94 49.59 45.09 53.73 47.87 46.69 48.08 46.62 47.59 53.61 44.41 44.33 44.43 56.46 50.09 48.01 39.35 52.42 46.99
43.41 46.55 52.88 50.36 51.69 50.33 49.21 54.24 61.74 53.64 44.93 46.87 50.55 45.13 46.59 54.18 45.14 54.44 56.51 42.72 50.9 51 45.51 54.78 44.55 53.37 52.91 50.66 54.94 47.6
44.52 44.96 59.79 49.77 44.61 47.53 45.87 46.97 50.42 49.72 47.93 46.23 57.86 45.28 46.51 43.82 44.13 51.03 53.27 47.71 51.29 48.76 49.39 46.18 48.25 45.6 58.97 51.4 48.55 53.86
45.21 43.28 54.42 51.05 43.4 46.73 50.86 46.59 47.86 46.86 46.42 53.27 47.27 52.65 47.64 58.32 43.77 57.11 39.18 49.58 49.55 54.1 49.61 45.71 48.18 41.95 43.65 55.05 50.72 48.56
51.88 53.36 43.99 52.54 54.19 50.78 53.31 48.96 46.01 51.45 56.52 50.82 54.19 52.96 52.45 37.32 46.86 50.73 46.87 51.49 62.15 50.07 46.78 52.39 58.88 49.04 52.11 50.52 48.45 50.69
52.14 51.72 41.76 48.71 49.02 55.3 51.17 54.94 53.89 52.79 53.28 45.9 47.89 55.06 51.31 55.02 47.34 38.2 58.83 45.86 46.61 48.34 52.81 53.2 59.4 49.45 57.8 48.32 48.12 48.38
49.3 48.22 44.54 50.09 49.04 46.05 47.85 51.34 49.89 46.38 46.21 56.27 43.45 52.15 48.42 47.29 48.87 57.49 50.15 48.81 46.29 36.17 55.61 44.68 40.44 51.11 44.39 47.42 49.68 52.42
52.69 57.57 48.11 45.66 49.17 44.73 51.43 52.83 51.07 48.17 44.73 49.86 56.58 55.2 57.83 42.65 55.38 55.08 53.89 46.46 53.55 56.29 50.26 52.05 54.5 43.5 57.79 58.32 53.2 53.56
44.6 53.51 51.62 39.48 54.78 51.11 52.02 53.04 51.72 56.8 44.05 61.93 43.62 51.28 46.58 58.05 50.79 53.4 47.92 53.87 53.94 61.36 53.98 51.34 56.07 56.64 57.39 48.8 48.7 49.22
48.47 46.27 59.61 61.97 53.09 53.7 42.29 48.09 54.04 40.31 52.37 57.72 62.96 47.03 47.67 48.04 54.89 57.13 47.91 48.2 53.53 50.01 44.59 58.92 43.64 46.22 37.53 49 53.33 50.85
50.41 50.16 55.71 41.17 43.14 52.51 55.91 51.61 50.09 46.75 45.06 46.53 48.9 52.73 49.97 58.25 56.3 51.25 47.07 58.71 54.75 39.52 44.17 48.29 56.02 46.3 46.7 54.21 46.15 50.36
50.78 58.88 47.6 48.89 52.06 49.37 49.56 38.85 42.54 57.61 52.78 43.57 54.88 52 44.84 44.61 54.11 38.81 50.59 46.98 56.25 58.57 47.22 51.77 44.98 53.79 51.93 48.29 49.85 42.94
58.94 53.57 43.19 58.01 48.57 48.34 45.12 52.52 44.42 45.25 49.99 45.98 44.66 44.7 55.05 49.2 56.89 57.11 43.52 57.66 48.33 44.84 52.16 45.42 47.66 44.62 53.67 50.84 49.18 44.95
52.86 40.21 50.83 52.19 56.52 57.73 55.43 50.99 44.4 54.18 59.92 45.98 47.72 49.3 42.43 51.48 45.09 43.01 48.22 44.52 46.41 50.99 58.83 51.52 53.9 51.93 55.15 60.75 51.76 45.44
50.89 51.98 54.92 53.18 53.45 52.5 45.23 57.18 47.06 61.21 51.47 53.8 48.32 54.18 50.73 56.26 44.38 54.71 47.72 50.19 52.82 57.45 49.36 53.65 53.42 50.69 48.47 48.16 45.34 52.1
